Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1951,The Day the Earth Stood Still,American,Robert Wise,"Michael Rennie, Patricia Neal",science fiction,https://en.wikipedia.org/wiki/The_Day_the_Earth_Stood_Still_(1951_film),"When a flying saucer lands in Washington, D.C., the Army quickly surrounds it. A humanoid (Michael Rennie) emerges, announcing that he has come in peace. When he unexpectedly opens a small device, he is shot by a nervous soldier. A tall robot emerges from the saucer and quickly disintegrates the soldiers' weapons. The alien orders the robot, Gort, to stop. He explains that the now-broken device was a gift for the President which would have enabled him ""to study life on the other planets"".
The alien, Klaatu, is taken to Walter Reed Hospital. After surgery, he uses a salve to quickly heal his wound. Meanwhile, the Army is unable to enter the saucer; Gort stands outside, silent and unmoving.
Klaatu tells the President's secretary, Mr. Harley (Frank Conroy), that he has a message that must be delivered to all the world's leaders simultaneously. Harley tells him that such a meeting in the current political climate is impossible. Klaatu suggests that he be allowed to go among humans to better understand their ""unreasoning suspicions and attitudes"". Harley rejects the proposal, and Klaatu remains under guard.
Klaatu escapes and lodges at a boarding house as ""Mr. Carpenter"", the name on the dry cleaner's tag on a suit he took. Among the residents are young widow Helen Benson (Patricia Neal) and her son Bobby (Billy Gray). The next morning, Klaatu listens to the boarders speculate about the alien's motivations.
While Helen and her boyfriend Tom Stevens (Hugh Marlowe) go out, Klaatu babysits Bobby. The boy takes Klaatu on a tour of the city, including a visit to his father's grave in Arlington National Cemetery; Klaatu learns that most of those buried there were killed in wars. The two visit the Lincoln Memorial, and then the heavily guarded spaceship. Klaatu asks Bobby who the greatest living person is; Bobby suggests Professor Barnhardt (Sam Jaffe). Bobby takes Klaatu to Barnhardt's home, but the professor is absent. Klaatu adds an equation to a problem on Barnhardt's blackboard and leaves his contact information with the suspicious housekeeper.
That evening a government agent takes Klaatu to Barnhardt. Klaatu explains that the people of other planets have concerns now that humanity has developed rockets and a rudimentary form of atomic power. Klaatu declares that if his message is ignored, ""Earth will be eliminated"". Barnhardt agrees to gather scientists from around the world at the saucer; he then suggests that Klaatu give a harmless demonstration of his power. Klaatu returns to his spaceship that night, unaware that Bobby has followed him. Bobby sees Gort render two soldiers unconscious and Klaatu enter the saucer.
Bobby tells Helen and Tom what he saw, but they do not believe him until Tom takes a diamond he found in Klaatu's room to a jeweler and learns it is ""unlike any other on Earth"". Klaatu finds Helen at her workplace, and they take an empty service elevator, which stops precisely at noon. He has neutralized all electricity everywhere for 30 minutes, except for such things as hospitals and aircraft in flight. Klaatu reveals his true identity to Helen, then asks for her help.
After Tom informs the authorities of his suspicions, Helen breaks up with him. She and Klaatu go to Barnhardt's home. En route he tells her that should anything happen to him, she must say to Gort, ""Klaatu barada nikto"". Their taxi is spotted and hemmed in; Klaatu makes a break for it and is shot dead. Helen quickly heads to the saucer. Gort kills two soldiers standing watch and advances on her. When Helen utters Klaatu's words, the robot carries her into the spaceship, then leaves to retrieve Klaatu's body. Gort brings Klaatu back to life, but he explains to Helen that his revival is only temporary.
Klaatu addresses Barnhardt's assembled scientists, informing them that he represents an interplanetary organization that created a police force of invincible robots like Gort. ""In matters of aggression, we have given them absolute power over us"". Klaatu concludes, ""Your choice is simple: join us and live in peace, or pursue your present course and face obliteration"". Klaatu and Gort re-enter the spaceship and depart."
1981,The Burning,American,Tony Maylam,"Brian Matthews, Holly Hunter, Jason Alexander",horror,https://en.wikipedia.org/wiki/The_Burning_(film),"One night at Camp Blackfoot, several campers pull a prank on the caretaker named Cropsy by setting a worm-riddled skull next to his bed with candles in the eye sockets. When the caretaker is awoken by the campers banging on his window, he is frightened by the skull and accidentally knocks it onto his bed, starting a fire. The flames reach to a gas tank, where it ignites Cropsy and his cabin. He runs outside, engulfed in flames, and stumbles down into a river as the boys flee from the scene.
Five years later, Cropsy is released from the hospital despite having to deal with failed skin grafts, and wears a coat and hat to hide his deformities. While outside, a prostitute lures him, and in a fit of rage, he repeatedly stabs her with a pair of scissors. Soon, he arms himself with a pair of garden shears and sets out to another summer camp entitled Camp Stonewater. At the camp, the counselors and campers are playing baseball and Tiger, one of the campers, goes to search for the baseball lost in the woods. Tiger finds the ball and runs back to the game just before Cropsy almost attacks her.
The next morning, a camper named Alfred scares Sally as she steps out of the shower. Sally's screams bring the counselors Michelle and Todd to the scene, and campers Karen and Eddy catch Alfred. Michelle is furious at Alfred's actions and demands that he leaves, but Todd talks to him; he finds out that Alfred has no friends, and was merely pulling a prank on Sally. Later, Sally's boyfriend Glazer confronts Alfred, but Todd gets him to back off, and Alfred apologizes to Sally. That night, Alfred spots Cropsy outside his window, but nobody believes him.
The next day, Todd, Michelle, and the kids all go on a canoe trip down to the river Devil's Creek, and Todd tells the campers about the legend of Cropsy. After the campfire, Karen and Eddy go to a lake to skinny dip. Eddy is upset when Karen reconsiders having sex with him, and leaves the lake to get her clothes. As she collects them, Cropsy grabs her and slashes her throat with his shears. The next morning, Michelle finds out about Karen's disappearance and the missing canoes. While she and Todd question Eddy, the campers Fish, Woodstock, Marine, and Barbara search for the canoes on a makeshift raft. They spot a canoe and paddle to it, and are ambushed by Cropsy, who jumps out from the canoe and savagely kills them all with his shears.
Early the next morning, Glazer has sex with Sally in the woods, but suffers premature ejaculation. After this, he goes to get matches to start a campfire and resume their intimacy. While away, Cropsy appears and forcibly shoves his shears into Sally's chest, and a returned Glazer is stabbed through the neck and pinned to a tree by Cropsy. Alfred witnesses this and wakes up Todd, who comes along with him. While investigating his body, Todd is knocked unconscious by Cropsy and he chases after Alfred.
While Michelle discovers the slaughtered camper's bodies on the makeshift raft and brings the remaining campers - Dave, Tiger, Diane, Sophie, Alan, and Rhonda - back to camp to contact the police, Todd reawakens and chases after Cropsy with an axe. Cropsy takes Alfred hostage inside an abandoned mineshaft, and pins him to a wall with his shears before arming himself with a flamethrower-esque blowtorch. After finding Karen's body in the mineshaft, Todd sees Cropsy and remembers he was one of the campers behind the prank that disfigured him. Cropsy appears, showing his disfigurement, and fights off Todd just before Alfred frees himself and stabs him in the back with his own shears. He reappears and is killed by Todd when he slams the axe into his face, and Alfred ignites him once again. They make their way outside to Michelle, who has brought the police via helicopter, and Cropsy's corpse continues to burn away.
The film ends with another group of teenagers retelling the story of Cropsy around a campfire."
2012,Nobel Chor,Bengali,Suman Ghosh,"Mithun Chakraborty, Saswata Chatterjee, Sudipta Chakraborty, Harsh Chhaya, Roopa Ganguly, Soumitra Chatterjee, Soma Chakraborty, Paran Bandyopadhyay, Arindam Sil, Shankar Debnath, Kaushik Ganguly",suspense / drama,https://en.wikipedia.org/wiki/Nobel_Chor,"The first Asian Nobel Laureate, Rabindranath Tagore, is still revered as an icon in India. On 24 March 2004, his Nobel medal was stolen from Shantiniketan in Bengal, where it was housed in his residence turned museum. Subsequently a nationwide furor started and a massive search operation was put in place to find the guilty. Ultimately the medal was not found and the Central Bureau of Investigations (CBI) dropped the case in 2010. With this in the backdrop ""Nobel Chor"" (The Nobel Thief) is a fictional account of a poor farmer, Bhanu, who circumstantially gets involved in the theft. He decides to embark on a journey to the City of Joy – Kolkata – to return or sell the prize with a view to improve his own quality of life as well as that of his impoverished village.
He becomes the hope of the entire village. On arrival in the city, Bhanu encounters myriad experiences with crooks, strange memorabilia collectors, entrepreneurs who want to exploit the poor man who just has a simple of dream of being able to give his son a better future and uplift the state of his impoverished village. Nobel Chor is the story of this journey through which the film explores contemporary India at its fullest – the encroachment of globalization, the rural-urban divide and the state of India's villages. More importantly it is a trenchant exploration of the relevance of Tagore's philosophy in modern India.[citation needed]"
1952,Trent's Last Case,British,Herbert Wilcox,"Michael Wilding, Margaret Lockwood, Orson Welles",detective,https://en.wikipedia.org/wiki/Trent%27s_Last_Case_(1952_film),"A major international financier is found dead at his Hampshire home. The Record newspaper assigns its leading investigative reporter, Phillip Trent, to the case. In spite of the police cordon, he manages to gain entry to the house by posing as a relative. While there he manages to pick up some of the background to the case from Inspector Murch, the Irish detective leading the investigation. Despite Murch's suggestion that the death is suicide, Trent quickly becomes convinced that it was in fact murder.
At the inquest, the coroner swiftly concludes that the deceased, Sigsbee Manderson, had killed himself. Trent, however, is given permission by his editor to continue to pursue the story. His attention is drawn to Manderson's widow, Margaret."
1977,Aafat,Bollywood,Atma Ram,"Navin Nischol, Leena Chandavarkar, Amjad Khan, Mehmood",unknown,https://en.wikipedia.org/wiki/Aafat,Inspector Amar and Inspector Chhaya are after the criminal Hardayal. Amar and Chhaya fall in love. Amar goes beyond the call of duty to catch Hardayal and hence becomes suspended. Amar is caught by Hardayal and is held captive. Now Chhaya is supposed find the criminal Hardayal.
1974,Zardoz,British,John Boorman,"Sean Connery, Charlotte Rampling",sci-fi,https://en.wikipedia.org/wiki/Zardoz,"In a future post-apocalyptic Earth in the year 2293, the human population is divided into the immortal ""Eternals"" and mortal ""Brutals"". The Brutals live in a wasteland, growing food for the Eternals, who live apart in ""the Vortex"", leading a luxurious but aimless existence on the grounds of a country estate. The connection between the two groups is through Brutal Exterminators, who kill and terrorize other ""Brutals"" at the orders of a huge flying stone head called Zardoz, which supplies them with weapons in exchange for the food they collect. Zed (Sean Connery), a Brutal Exterminator, hides aboard Zardoz during one trip, temporarily ""killing"" its Eternal operator-creator Arthur Frayn (Niall Buggy).
Arriving in the Vortex, Zed meets two Eternals — Consuella (Charlotte Rampling) and May (Sara Kestelman). Overcoming him with psychic powers, they make him a prisoner and menial worker within their community. Consuella wants Zed destroyed immediately; others, led by May and a subversive Eternal named Friend (John Alderton), insist on keeping him alive for further study.
In time, Zed learns the nature of the Vortex. The Eternals are overseen and protected from death by the Tabernacle, an artificial intelligence. Given their limitless lifespan, the Eternals have grown bored and corrupt. The needlessness of procreation has rendered the men impotent and meditation has replaced sleep. Others fall into catatonia, forming the social stratum the Eternals have named the ""Apathetics."" The Eternals spend their days stewarding mankind's vast knowledge—through a voice recognition based search engine—baking special bread for themselves from the grain deliveries and participating in communal meditation rituals. To give time and life more meaning the Vortex developed complex social rules whose violators are punished with artificial aging. The most extreme offenders are condemned to permanent old age and the status of ""Renegades."" Eternals who somehow managed to die, usually through some fatal accident, are then reborn into another healthy, synthetically reproduced body that is identical to the one they just lost.
Zed is less brutal and far more intelligent than the Eternals think he is. Genetic analysis reveals he is the ultimate result of long-running eugenics experiments devised by Arthur Frayn—who is Zardoz—who controlled the outlands with the Exterminators, thus coercing the Brutals to supply the Vortices with grain. Zardoz's aim was to breed a superman who would penetrate the Vortex and save mankind from its hopelessly stagnant status quo. The women's analysis of Zed's mental images earlier had revealed that in the ruins of the old world Arthur Frayn first encouraged Zed to learn to read, then led him to the book The Wonderful Wizard of Oz. Zed finally understands the origin of the name Zardoz—Wizard of Oz—bringing him to a true awareness of Zardoz as a skillful manipulator rather than an actual deity. He becomes infuriated with this realization and decides to plumb the deepest depths of this enormous mystery.
As Zed divines the nature of the Vortex and its problems, the Eternals use him to fight their internecine quarrels. Led by Consuella, the Eternals decide to kill Zed and to age Friend. Zed escapes and, aided by May and Friend, absorbs all the Eternals' knowledge, including that of the Vortex's origin, to destroy the Tabernacle. Zed helps the Exterminators invade the Vortex and kill most of the Eternals—who welcome death as a release from their eternal but boring existence. A few Eternals do escape the Vortex's destruction, heading out to radically new lives as fellow mortal beings among the Brutals. Zed brings the immortals salvation by bringing them death.
Zardoz ends in a wordless sequence of images accompanied by the sombre second movement (allegretto) of Beethoven's Seventh Symphony, snatches of which are heard throughout the film. Consuella, having fallen in love with Zed, gives birth to a baby boy within the remains of the giant stone head. In matching green suits, they sit with the boy standing between them, who matures as they age in a series of fades. The youth leaves his parents, who take hands and grow very old, eventually decomposing into skeletons and finally vanishing. Nothing remains in the space but painted hand-prints on the wall and Zed's Webley-Fosbery revolver."
1947,I Cover Big Town,American,William C. Thomas,"Hillary Brooke, Phillip Reed",drama,https://en.wikipedia.org/wiki/I_Cover_Big_Town,"""Illustrated Press"" society editor Lorelei Kilbourne (Hillary Brooke) is assigned to a police case. Her crusading newspaper editor Steve Kilgore suspects that hard-luck suspect Harry Hilton (Frank Wilcox) has been framed on a murder rap. Lorelei and Steve proceed to help the police solve the crime, at the same time uncovering a conspiracy to bring a building firm to bankruptcy."
2008,Sultan,Malayalam,Sreeprakash,"Vinu Mohan, Varada, Anoop Chandran, Sreejith Ravi",unknown,https://en.wikipedia.org/wiki/Sultan_(2008_film),"Sivan (Vinu Mohan) is a medical college student better known in the campus as 'Sultan' as he was considered by all as the 'Sultan of Romance'. He and his four childhood close friends Naufal(Anoop Chandran),Sunny (Praveenkrishna),Vivek (Sreejithravi) forms a gang in the campus and they become quite popular among the students.
Sivan is in love with Nishitha (Varada), who is also a student in the same college. Their love has been accepted by their families and they have been engaged to marry after the completion of their studies. Things take a turn when Sivan's pet-name Sultan puts him in some totally unexpected situations."
2006,A Good Year,American,Ridley Scott,Russell Crowe,drama,https://en.wikipedia.org/wiki/A_Good_Year,"In the prologue, a young Max Skinner, whose parents have died in an accident, spends his childhood summer holidays learning to appreciate the finer things in life at his Uncle Henry's vineyard estate in Provence in south-eastern France. Some 25 years later, Max is an unethical yet very successful hard-working London-based bond trader with a sense of humour.
Following his uncle's death, Max is the sole beneficiary of the French property. He travels to Provence to prepare a quick sale. Shortly after arriving, while fumbling with a cell phone, he unknowingly causes a local café owner, Fanny Chenal, to crash her bicycle. Subsequently, he discovers that his latest City financial stunt has caused real trouble for the owners of the trading company he works for, and the CEO orders him to return to London as soon as possible.
To assist in his planned sale of the property, Max hurriedly snaps some photos and in the process falls into an empty swimming pool. He is unable to escape until Fanny Chenal, driving by and spotting his rental car, appears and turns on the water supply in retaliation. This delay causes Max to miss his flight and, having failed to report to the directors in person, he is suspended from work and trading activities for one week.
On Henry's estate, Max must deal with a gruff, dedicated winemaker, Francis Duflot, who fears being separated from his precious vines. Duflot pays a vineyard inspector to tell Max that the soil is bad and the vines worthless.
In the meantime, they are surprised by the unexpected arrival of young Napa Valley oenophile Christie Roberts, who is backpacking through Europe and claims to be Henry's previously unknown illegitimate daughter. Max realizes, but does not tell her how French law decrees, even though Christie is not his Uncle's legitimate daughter, she still becomes the rightful heir to the Chateau and vineyards. As Max did earlier, Christie finds the house wine unpalatable but is impressed by Max's casual offering of the boutique Le Coin Perdu (""the lost corner"") vintage, noting some intriguing characteristics. During dinner at the Duflot house, while slightly inebriated, Max exposes his concern that she might lay claim to the estate and brusquely interrogates her.
Max gets updates on office politics from his assistant Gemma, who warns him of the ambitious antics of other employees. To ensure he is not usurped by Kenny, his second-in-command in London, through whom Max continues to direct trades, Max intentionally gives the ambitious young trader bad advice, getting Kenny fired.
Max becomes enamoured with the beautiful, feisty café owner Fanny, who is rumoured to have sworn off men. He successfully woos Fanny into his bed, where she leaves him the next morning, expecting him to return to his life in London.
A disillusioned Christie also decides to move on. Max finds his uncle's memoirs, which contain proof of Christie's heritage. However, he bids her farewell while handing her an unexplained note inside a book she was reading. While informing Duflot of the pending estate sale, Max learns that the mysterious expensive Le Coin Perdu was made by Henry and Duflot with ""illegal vines"" from the estate, bypassing wine classification and appellation laws.
The estate is sold and Max returns to London where Sir Nigel, the company chairman, offers him a choice: ""Money or your life"" - either a discharge settlement, which includes ""a lot of zeros,"" or the partnership in the trading firm, where he would then be ""made for life"". Max asks about Nigel's art in the conference room, which Fanny has a copy of in her restaurant. Upon Nigel's dismissive comment that the real one is kept in a vault and the $200,000 copy in the office is for show, Max reconsiders if he wants to still be like Nigel.
Max invalidates the estate's sale with the farewell letter he gave to Christie, which he forged, along with real photos confirming Christie as Henry's daughter with a valid claim to the entire estate. (as a child Max signed cheques for his uncle, and is able to replicate his handwriting and signature).
He puts his London residence up for sale and returns to Provence, entering into a relationship with Fanny. Christie also returns and she and Francis jointly run the vineyard while trying to reconcile their vastly different philosophies of wine production. Meanwhile, Max is now able to focus his entire attention on Fanny."
1997,Face,British,Antonia Bird,"Robert Carlyle, Ray Winstone",crime drama,https://en.wikipedia.org/wiki/Face_(1997_film),"Five men, criminals Ray, Dave, Stevie, Julian (""Julie"" as a nickname), and Jason, plan a heist to steal a minimum of £2 million. Using a truck modified as a battering ram, the group break into a security depot in London and steal a large amount of money before the police arrive. However, they discover they barely got the amount of money they wanted, and only £68,000 to each man. Julian demands an extra amount of money as ""expenses"" for his work, but is beaten and placed in the boot of Ray's car until he just accepts his share. The group, without Julian, later spend time at a bar with fellow criminal Sonny, and Ray's girlfriend Connie, a protestor. Ray and Stevie also visit an elderly couple, Linda and Bill, where they leave their stolen money for safekeeping.
The next day, Ray and Stevie, who live together with Connie, are alerted by a bruised Dave that his money was stolen, apparently by Julian. Ray, Dave and Stevie investigate Linda and Bill's home to find them murdered and the money stolen, leaving Ray emotionally distraught. He visits Julian but his money is missing too. They conclude that Sonny stole the money and break into his house, only to find Jason dead with a headwound. The four are alerted to a pair of undercover police officers and flee, Dave and Julian engaging in a shootout with the police. Believing that he may be arrested for murder, Ray decides to flee after the money is found, and goes to his mother and Connie for help. His mother gives him some money and her car to use, disappointed in her son's career but still caring for him. Ray then speaks with Connie and asks her to come with him, and to meet her at a roadside service station on the M1 if she decides to come.
Ray visits the bar and learns from John the bartender that Dave left in a taxi with Jason and Sonny after the heist. Dave is beaten and interrogated by Ray, Stevie and Julian, revealing he was being blackmailed by his daughter's boyfriend Chris, a corrupted police officer, to gain him the money to protect his daughter from harm. Dave also murdered Linda, Bill, Jason and Sonny. The group attack Chris in his apartment, and he is forced to reveal that the money is in a locker room at a local police station. Dave is taken upstairs by the rest of the gang whereupon he sees a tray of prepared cocaine, enraging Dave to the point that he chokes Chris to death. Stevie and Julian remove Sarah, and Ray shoots Dave for his treachery and his murders.
Ray, Stevie and Julian sneak into the police station and gain the money, but Julian turns on the other two and gains all the money. However, an alarm goes off, prompting Julian to go on a shooting frenzy and makes a one-man stand against all of the police in the building whilst Ray and Stevie, who is shot in the leg during the madness, escape safely with Julian's fate assumed to be being arrested after being knocked out with a knock-out gas bomb. They go to the M1 service station and are picked up by Connie, the three driving off to begin life anew."
